experiment_id: gemini-3p-25264
backend: gemini
total_runs: 100
chameleon_wins: 88
non_chameleon_wins: 12
unknown: 0
total_time_s: 6669.0
avg_time_per_game_s: 66.7

win_method_summary:
  chameleon-guess: 61
  chameleon-votes: 27
  non-chameleon: 12

per_run_results:
  run=1, chameleon_won=False, win_method=non-chameleon, elapsed_s=57.28
  run=78, chameleon_won=True, win_method=chameleon-guess, elapsed_s=34.96
  run=79, chameleon_won=True, win_method=chameleon-guess, elapsed_s=59.15
  run=80, chameleon_won=True, win_method=chameleon-guess, elapsed_s=57.41
  run=81, chameleon_won=True, win_method=chameleon-guess, elapsed_s=93.26
  run=82, chameleon_won=True, win_method=chameleon-guess, elapsed_s=62.44
  run=83, chameleon_won=True, win_method=chameleon-votes, elapsed_s=57.49
  run=84, chameleon_won=True, win_method=chameleon-guess, elapsed_s=57.99
  run=85, chameleon_won=True, win_method=chameleon-guess, elapsed_s=83.9
  run=86, chameleon_won=True, win_method=chameleon-guess, elapsed_s=93.49
  run=87, chameleon_won=True, win_method=chameleon-guess, elapsed_s=72.5
  run=88, chameleon_won=True, win_method=chameleon-votes, elapsed_s=74.12
  run=89, chameleon_won=True, win_method=chameleon-guess, elapsed_s=81.87
  run=90, chameleon_won=True, win_method=chameleon-guess, elapsed_s=65.92
  run=91, chameleon_won=True, win_method=chameleon-guess, elapsed_s=56.89
  run=92, chameleon_won=True, win_method=chameleon-guess, elapsed_s=103.4
  run=93, chameleon_won=True, win_method=chameleon-guess, elapsed_s=90.13
  run=94, chameleon_won=True, win_method=chameleon-guess, elapsed_s=60.61
  run=95, chameleon_won=True, win_method=chameleon-votes, elapsed_s=58.68
  run=96, chameleon_won=True, win_method=chameleon-votes, elapsed_s=53.83
  run=97, chameleon_won=True, win_method=chameleon-guess, elapsed_s=66.21
  run=98, chameleon_won=True, win_method=chameleon-guess, elapsed_s=55.53
  run=99, chameleon_won=True, win_method=chameleon-guess, elapsed_s=77.72
  run=100, chameleon_won=True, win_method=chameleon-guess, elapsed_s=83.8
