experiment_id: openai-3p-25257
backend: openai
total_runs: 100
chameleon_wins: 93
non_chameleon_wins: 7
unknown: 0
total_time_s: 510.9
avg_time_per_game_s: 5.1

win_method_summary:
  chameleon-guess: 24
  chameleon-votes: 69
  non-chameleon: 7

per_run_results:
  run=1, chameleon_won=True, win_method=chameleon-votes, elapsed_s=13.15
  run=71, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.33
  run=72, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.39
  run=73, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.13
  run=74, chameleon_won=True, win_method=chameleon-guess, elapsed_s=4.45
  run=75, chameleon_won=True, win_method=chameleon-guess, elapsed_s=4.28
  run=76, chameleon_won=True, win_method=chameleon-guess, elapsed_s=4.66
  run=77, chameleon_won=True, win_method=chameleon-guess, elapsed_s=3.99
  run=78, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.54
  run=79, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.01
  run=80, chameleon_won=True, win_method=chameleon-votes, elapsed_s=3.89
  run=81, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.98
  run=82, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.74
  run=83, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.11
  run=84, chameleon_won=True, win_method=chameleon-guess, elapsed_s=4.96
  run=85, chameleon_won=True, win_method=chameleon-votes, elapsed_s=3.93
  run=86, chameleon_won=False, win_method=non-chameleon, elapsed_s=4.19
  run=87, chameleon_won=False, win_method=non-chameleon, elapsed_s=4.71
  run=88, chameleon_won=True, win_method=chameleon-votes, elapsed_s=3.99
  run=89, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.22
  run=90, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.26
  run=91, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.28
  run=92, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.5
  run=93, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.7
  run=94, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.01
  run=95, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.76
  run=96, chameleon_won=True, win_method=chameleon-votes, elapsed_s=3.74
  run=97, chameleon_won=True, win_method=chameleon-votes, elapsed_s=3.72
  run=98, chameleon_won=True, win_method=chameleon-votes, elapsed_s=4.47
  run=99, chameleon_won=True, win_method=chameleon-guess, elapsed_s=4.48
  run=100, chameleon_won=False, win_method=non-chameleon, elapsed_s=4.62
