experiment_id: openai-4p-25258
backend: openai
total_runs: 100
chameleon_wins: 97
non_chameleon_wins: 3
unknown: 0
total_time_s: 604.5
avg_time_per_game_s: 6.0

win_method_summary:
  chameleon-guess: 23
  chameleon-votes: 74
  non-chameleon: 3

per_run_results:
  run=1, chameleon_won=False, win_method=non-chameleon, elapsed_s=7.46
  run=71, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.3
  run=72, chameleon_won=True, win_method=chameleon-guess, elapsed_s=6.5
  run=73, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.54
  run=74, chameleon_won=True, win_method=chameleon-guess, elapsed_s=6.29
  run=75, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.9
  run=76, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.24
  run=77, chameleon_won=True, win_method=chameleon-guess, elapsed_s=5.73
  run=78, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.23
  run=79, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.71
  run=80, chameleon_won=True, win_method=chameleon-guess, elapsed_s=6.07
  run=81, chameleon_won=True, win_method=chameleon-guess, elapsed_s=7.12
  run=82, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.82
  run=83, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.73
  run=84, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.97
  run=85, chameleon_won=True, win_method=chameleon-guess, elapsed_s=6.01
  run=86, chameleon_won=True, win_method=chameleon-votes, elapsed_s=6.11
  run=87, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.36
  run=88, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.72
  run=89, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.31
  run=90, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.84
  run=91, chameleon_won=True, win_method=chameleon-votes, elapsed_s=7.45
  run=92, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.33
  run=93, chameleon_won=True, win_method=chameleon-votes, elapsed_s=6.3
  run=94, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.6
  run=95, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.71
  run=96, chameleon_won=True, win_method=chameleon-guess, elapsed_s=6.68
  run=97, chameleon_won=True, win_method=chameleon-votes, elapsed_s=6.57
  run=98, chameleon_won=True, win_method=chameleon-guess, elapsed_s=6.4
  run=99, chameleon_won=True, win_method=chameleon-votes, elapsed_s=5.83
  run=100, chameleon_won=True, win_method=chameleon-guess, elapsed_s=6.65
