experiment_id: gemini-5p-25278
backend: gemini
total_runs: 100
chameleon_wins: 97
non_chameleon_wins: 3
unknown: 0
total_time_s: 11419.8
avg_time_per_game_s: 114.2

win_method_summary:
  chameleon-guess: 49
  chameleon-votes: 48
  non-chameleon: 3

per_run_results:
  run=1, chameleon_won=True, win_method=chameleon-guess, elapsed_s=110.75
  run=45, chameleon_won=True, win_method=chameleon-votes, elapsed_s=93.83
  run=46, chameleon_won=False, win_method=non-chameleon, elapsed_s=173.07
  run=47, chameleon_won=False, win_method=non-chameleon, elapsed_s=160.68
  run=48, chameleon_won=True, win_method=chameleon-votes, elapsed_s=134.08
  run=49, chameleon_won=True, win_method=chameleon-votes, elapsed_s=156.53
  run=50, chameleon_won=True, win_method=chameleon-guess, elapsed_s=67.04
  run=51, chameleon_won=False, win_method=non-chameleon, elapsed_s=77.75
  run=52, chameleon_won=True, win_method=chameleon-votes, elapsed_s=110.09
  run=53, chameleon_won=True, win_method=chameleon-guess, elapsed_s=146.85
  run=54, chameleon_won=True, win_method=chameleon-votes, elapsed_s=73.01
  run=55, chameleon_won=True, win_method=chameleon-guess, elapsed_s=103.95
  run=56, chameleon_won=True, win_method=chameleon-votes, elapsed_s=42.34
  run=57, chameleon_won=True, win_method=chameleon-guess, elapsed_s=187.22
  run=58, chameleon_won=True, win_method=chameleon-guess, elapsed_s=103.5
  run=59, chameleon_won=True, win_method=chameleon-guess, elapsed_s=130.12
  run=60, chameleon_won=True, win_method=chameleon-guess, elapsed_s=127.18
  run=61, chameleon_won=True, win_method=chameleon-guess, elapsed_s=120.11
  run=62, chameleon_won=True, win_method=chameleon-guess, elapsed_s=120.22
  run=63, chameleon_won=True, win_method=chameleon-guess, elapsed_s=160.14
  run=64, chameleon_won=True, win_method=chameleon-guess, elapsed_s=107.48
  run=65, chameleon_won=True, win_method=chameleon-guess, elapsed_s=113.53
  run=66, chameleon_won=True, win_method=chameleon-votes, elapsed_s=77.35
  run=67, chameleon_won=True, win_method=chameleon-votes, elapsed_s=79.87
  run=68, chameleon_won=True, win_method=chameleon-guess, elapsed_s=85.97
  run=69, chameleon_won=True, win_method=chameleon-votes, elapsed_s=58.42
  run=70, chameleon_won=True, win_method=chameleon-votes, elapsed_s=115.36
  run=71, chameleon_won=True, win_method=chameleon-votes, elapsed_s=79.1
  run=72, chameleon_won=True, win_method=chameleon-guess, elapsed_s=87.38
  run=73, chameleon_won=True, win_method=chameleon-votes, elapsed_s=94.64
  run=74, chameleon_won=True, win_method=chameleon-votes, elapsed_s=64.47
  run=75, chameleon_won=True, win_method=chameleon-votes, elapsed_s=101.7
  run=76, chameleon_won=True, win_method=chameleon-guess, elapsed_s=156.08
  run=77, chameleon_won=True, win_method=chameleon-votes, elapsed_s=58.16
  run=78, chameleon_won=True, win_method=chameleon-votes, elapsed_s=133.98
  run=79, chameleon_won=True, win_method=chameleon-guess, elapsed_s=98.76
  run=80, chameleon_won=True, win_method=chameleon-votes, elapsed_s=80.11
  run=81, chameleon_won=True, win_method=chameleon-guess, elapsed_s=80.45
  run=82, chameleon_won=True, win_method=chameleon-guess, elapsed_s=143.48
  run=83, chameleon_won=True, win_method=chameleon-guess, elapsed_s=75.96
  run=84, chameleon_won=True, win_method=chameleon-guess, elapsed_s=195.47
  run=85, chameleon_won=True, win_method=chameleon-guess, elapsed_s=160.91
  run=86, chameleon_won=True, win_method=chameleon-guess, elapsed_s=73.58
  run=87, chameleon_won=True, win_method=chameleon-votes, elapsed_s=65.2
  run=88, chameleon_won=True, win_method=chameleon-guess, elapsed_s=94.64
  run=89, chameleon_won=True, win_method=chameleon-guess, elapsed_s=92.3
  run=90, chameleon_won=True, win_method=chameleon-votes, elapsed_s=77.13
  run=91, chameleon_won=True, win_method=chameleon-votes, elapsed_s=100.69
  run=92, chameleon_won=True, win_method=chameleon-votes, elapsed_s=109.05
  run=93, chameleon_won=True, win_method=chameleon-guess, elapsed_s=91.6
  run=94, chameleon_won=True, win_method=chameleon-votes, elapsed_s=124.32
  run=95, chameleon_won=True, win_method=chameleon-guess, elapsed_s=100.27
  run=96, chameleon_won=True, win_method=chameleon-votes, elapsed_s=66.01
  run=97, chameleon_won=True, win_method=chameleon-votes, elapsed_s=144.26
  run=98, chameleon_won=True, win_method=chameleon-votes, elapsed_s=167.16
  run=99, chameleon_won=True, win_method=chameleon-votes, elapsed_s=98.88
  run=100, chameleon_won=True, win_method=chameleon-guess, elapsed_s=98.12
